Index,Quote,Author
1,"The only way to do great work is to love what you do.",Steve Jobs
2,"Success is not final, failure is not fatal: it is the courage to continue that counts.",Winston Churchill
3,"Believe you can and you're halfway there.",Theodore Roosevelt
4,"Everything you've ever wanted is on the other side of fear.",George Addair
5,"The future belongs to those who believe in the beauty of their dreams.",Eleanor Roosevelt
6,"Success usually comes to those who are too busy to be looking for it.",Henry David Thoreau
7,"Don't watch the clock; do what it does. Keep going.",Sam Levenson
8,"The only limit to our realization of tomorrow will be our doubts of today.",Franklin D. Roosevelt
9,"The way to get started is to quit talking and begin doing.",Walt Disney
10,"Don't let yesterday take up too much of today.",Will Rogers
11,"You learn more from failure than from success. Don't let it stop you.",Unknown
12,"It does not matter how slowly you go as long as you do not stop.",Confucius
13,"The secret of getting ahead is getting started.",Mark Twain
14,"Quality is not an act, it is a habit.",Aristotle
15,"The harder you work for something, the greater you'll feel when you achieve it.",Unknown
16,"Your time is limited, don't waste it living someone else's life.",Steve Jobs
17,"The only person you are destined to become is the person you decide to be.",Ralph Waldo Emerson
18,"The best way to predict the future is to create it.",Peter Drucker
19,"Success is walking from failure to failure with no loss of enthusiasm.",Winston Churchill
20,"What you get by achieving your goals is not as important as what you become by achieving your goals.",Zig Ziglar
21,"The difference between ordinary and extraordinary is that little extra.",Jimmy Johnson
22,"If you want to achieve greatness stop asking for permission.",Anonymous
23,"Things work out best for those who make the best of how things work out.",John Wooden
24,"If you are not willing to risk the usual, you will have to settle for the ordinary.",Jim Rohn
25,"All our dreams can come true if we have the courage to pursue them.",Walt Disney
26,"Start where you are. Use what you have. Do what you can.",Arthur Ashe
27,"Success is liking yourself, liking what you do, and liking how you do it.",Maya Angelou
28,"The only way to achieve the impossible is to believe it is possible.",Charles Kingsleigh
29,"Don't be afraid to give up the good to go for the great.",John D. Rockefeller
30,"The harder you work, the luckier you get.",Gary Player
31,"Life is 10% what happens to you and 90% how you react to it.",Charles R. Swindoll
32,"The mind is everything. What you think you become.",Buddha
33,"The best revenge is massive success.",Frank Sinatra
34,"Do what you can, with what you have, where you are.",Theodore Roosevelt
35,"What lies behind us and what lies before us are tiny matters compared to what lies within us.",Ralph Waldo Emerson
36,"Don't count the days, make the days count.",Muhammad Ali
37,"The only impossible journey is the one you never begin.",Tony Robbins
38,"Whatever the mind can conceive and believe, it can achieve.",Napoleon Hill
39,"The journey of a thousand miles begins with one step.",Lao Tzu
40,"Success is not in what you have, but who you are.",Bo Bennett
41,"The past cannot be changed. The future is yet in your power.",Unknown
42,"It always seems impossible until it's done.",Nelson Mandela
43,"The best time to plant a tree was 20 years ago. The second best time is now.",Chinese Proverb
44,"Your attitude, not your aptitude, will determine your altitude.",Zig Ziglar
45,"You miss 100% of the shots you don't take.",Wayne Gretzky
46,"The only way to do great work is to love what you do.",Steve Jobs
47,"Change your thoughts and you change your world.",Norman Vincent Peale
48,"Nothing is impossible, the word itself says 'I'm possible'!",Audrey Hepburn
49,"Keep your face always toward the sunshineâ€”and shadows will fall behind you.",Walt Whitman
50,"What we think, we become.",Buddha

